seq,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
106,2/17/17,2/24/17,118.5,TLT,Put,0.17,0.11668,120.32,0.019164956,0.115067746,0.001612254
107,2/17/17,2/24/17,120.5,TLT,Put,0.8,0.11668,120.32,0.019164956,0.10716383,0.00951617
108,2/17/17,6/16/17,130,TLT,Call,0.67,0.11668,120.32,0.325804244,0.125657063,-0.008977063
109,2/17/17,3/10/17,880,GOOGL,Call,1.18,0.11671,846.549988,0.057494867,0.12389175,-0.00718175
110,2/17/17,3/10/17,855,GOOGL,Call,6.35,0.11672,846.549988,0.057494867,0.121875414,-0.005155414
111,2/17/17,3/3/17,842.5,GOOG,Call,2.39,0.11673,828.070007,0.038329911,0.114200422,0.002529578
112,2/17/17,3/3/17,850,GOOGL,Put,9.68,0.11676,846.549988,0.038329911,0.119677569,-0.002917569
113,2/17/17,2/24/17,119,TLT,Call,1.58,0.11679,120.32,0.019164956,0.110302574,0.006487426
114,2/17/17,3/17/17,119,TLT,Call,2.22,0.11681,120.32,0.076659822,0.108596269,0.008213731
115,2/17/17,3/24/17,890,GOOGL,Call,1.5,0.11684,846.549988,0.095824778,0.12304724,-0.00620724
116,2/17/17,2/24/17,825,AMZN,Call,20.46,0.11685,845.070007,0.019164956,0.110349247,0.006500753
117,2/17/17,3/10/17,837.5,GOOG,Call,5.2,0.11701,828.070007,0.057494867,0.113789475,0.003220525
118,2/17/17,3/24/17,870,GOOGL,Call,4.11,0.11707,846.549988,0.095824778,0.116653,0.000417
119,2/17/17,2/24/17,847.5,GOOG,Call,0.6,0.11711,828.070007,0.019164956,0.124328826,-0.007218826
120,2/17/17,3/24/17,116,TLT,Put,0.43,0.11728,120.32,0.095824778,0.126865468,-0.009585468
121,2/17/17,3/3/17,120,TLT,Put,1.01,0.11729,120.32,0.038329911,0.125056922,-0.007766922
122,2/17/17,3/3/17,870,GOOGL,Call,1.19,0.11735,846.549988,0.038329911,0.118543177,-0.001193177
123,2/17/17,2/24/17,37,INTC,Call,0.06,0.11756,36.48,0.019164956,0.114570879,0.002989121
124,2/17/17,6/16/17,775,GOOG,Call,58.8,0.11782,828.070007,0.325804244,0.118389482,-0.000569482
125,2/17/17,2/24/17,117.5,TLT,Put,0.07,0.11787,120.32,0.019164956,0.121154856,-0.003284856
126,2/17/17,6/16/17,131,TLT,Call,0.54,0.1179,120.32,0.325804244,0.125374968,-0.007474968
127,2/17/17,3/3/17,825,GOOG,Call,8.9,0.11815,828.070007,0.038329911,0.111087889,0.007062111
128,2/17/17,2/24/17,852.5,GOOGL,Put,8.6,0.11844,846.549988,0.019164956,0.109599846,0.008840154
129,2/17/17,3/3/17,847.5,GOOGL,Call,6.85,0.11844,846.549988,0.038329911,0.10940377,0.00903623
130,2/17/17,3/3/17,842.5,GOOGL,Call,9.6,0.11845,846.549988,0.038329911,0.110711181,0.007738819
131,2/17/17,3/10/17,847.5,GOOGL,Call,9.1,0.11845,846.549988,0.057494867,0.116638476,0.001811524
132,2/17/17,3/10/17,875,GOOGL,Call,1.64,0.11845,846.549988,0.057494867,0.121551668,-0.003101668
133,2/17/17,4/21/17,130,TLT,Call,0.21,0.11864,120.32,0.1724846,0.126169182,-0.007529182
134,2/17/17,4/21/17,131,TLT,Call,0.12,0.11864,120.32,0.1724846,0.120512771,-0.001872771
135,2/17/17,6/16/17,785,GOOGL,Call,66.33,0.11885,846.549988,0.325804244,0.118636552,0.000213448
136,2/17/17,2/24/17,124,TLT,Call,0.03,0.11888,120.32,0.019164956,0.12119105,-0.00231105
137,2/17/17,4/21/17,36,CSCO,Call,0.08,0.11912,33.740002,0.1724846,0.119277433,-0.000157433
138,2/17/17,9/15/17,127,TLT,Call,1.88,0.11955,120.32,0.574948665,0.115819028,0.003730972
139,2/17/17,2/24/17,75.5,CMCSA,Put,0.63,0.11956,75.32,0.019164956,0.129478754,-0.009918754
140,2/17/17,3/3/17,840,GOOGL,Put,5.13,0.1196,846.549988,0.038329911,0.122145741,-0.002545741
141,2/17/17,3/24/17,119.5,TLT,Put,1.45,0.11962,120.32,0.095824778,0.125354657,-0.005734657
142,2/17/17,3/3/17,845,GOOGL,Call,8.19,0.1197,846.549988,0.038329911,0.110551791,0.009148209
143,2/17/17,2/24/17,805,GOOG,Put,0.35,0.11971,828.070007,0.019164956,0.129083999,-0.009373999
144,2/17/17,3/24/17,840,GOOG,Call,7.6,0.11978,828.070007,0.095824778,0.121681839,-0.001901839
145,2/17/17,4/21/17,125,TLT,Call,0.7,0.11995,120.32,0.1724846,0.113142347,0.006807653
146,2/17/17,2/24/17,118,TLT,Put,0.12,0.12031,120.32,0.019164956,0.121148474,-0.000838474
147,2/17/17,2/24/17,857.5,AMZN,Put,13.56,0.12046,845.070007,0.019164956,0.111036715,0.009423285
148,2/17/17,2/24/17,850,GOOGL,Put,7.1,0.12056,846.549988,0.019164956,0.111950796,0.008609204
149,2/17/17,2/24/17,123,TLT,Call,0.07,0.12058,120.32,0.019164956,0.113216395,0.007363605
150,2/17/17,2/24/17,842.5,GOOGL,Put,3.5,0.12059,846.549988,0.019164956,0.113890754,0.006699246
151,2/17/17,5/19/17,125,TLT,Call,1.16,0.12065,120.32,0.249144422,0.117736355,0.002913645
152,2/17/17,3/10/17,835,GOOGL,Call,16.28,0.12081,846.549988,0.057494867,0.114526449,0.006283551
153,2/17/17,5/19/17,123,TLT,Call,1.71,0.12081,120.32,0.249144422,0.115402017,0.005407983
154,2/17/17,3/24/17,832.5,GOOGL,Call,20.8,0.12085,846.549988,0.095824778,0.118127461,0.002722539
155,2/17/17,4/21/17,129,TLT,Call,0.25,0.12097,120.32,0.1724846,0.121548386,-0.000578386
156,2/17/17,4/21/17,132,TLT,Call,0.11,0.12109,120.32,0.1724846,0.126982783,-0.005892783
157,2/17/17,3/10/17,125,TLT,Call,0.15,0.12142,120.32,0.057494867,0.118942879,0.002477121
158,2/17/17,3/10/17,832.5,GOOGL,Call,18.53,0.12155,846.549988,0.057494867,0.121650297,-0.000100297
159,2/17/17,3/3/17,837.5,GOOGL,Call,13.45,0.12196,846.549988,0.038329911,0.121919245,4.08E-05
160,2/17/17,3/3/17,860,GOOGL,Call,2.65,0.12196,846.549988,0.038329911,0.112438648,0.009521352
161,2/17/17,3/10/17,840,GOOGL,Call,13.4,0.12196,846.549988,0.057494867,0.119345772,0.002614228
162,2/17/17,3/10/17,850,GOOGL,Call,8.1,0.12196,846.549988,0.057494867,0.118549234,0.003410766
163,2/17/17,3/10/17,852.5,GOOGL,Call,7,0.12196,846.549988,0.057494867,0.117951085,0.004008915
164,2/17/17,3/24/17,825,GOOGL,Call,26.6,0.12199,846.549988,0.095824778,0.123382054,-0.001392054
165,2/17/17,2/24/17,850,AMZN,Call,3.73,0.12204,845.070007,0.019164956,0.124701064,-0.002661064
166,2/17/17,3/17/17,880,GOOG,Call,0.55,0.1221,828.070007,0.076659822,0.128190543,-0.006090543
167,2/17/17,3/10/17,117.5,TLT,Put,0.47,0.12224,120.32,0.057494867,0.130068463,-0.007828463
168,2/17/17,3/17/17,830,GOOGL,Call,22.3,0.12268,846.549988,0.076659822,0.129976454,-0.007296454
169,2/17/17,6/16/17,126,TLT,Call,1.34,0.12287,120.32,0.325804244,0.121337087,0.001532913
170,2/17/17,2/24/17,124.5,TLT,Call,0.02,0.12293,120.32,0.019164956,0.125423014,-0.002493014
171,2/17/17,3/24/17,126.5,TLT,Call,0.2,0.12306,120.32,0.095824778,0.121060279,0.001999721
172,2/17/17,3/10/17,143,FFIV,Call,1.78,0.12314,143.350006,0.057494867,0.115144286,0.007995714
173,2/17/17,3/17/17,875,GOOGL,Put,30.67,0.12326,846.549988,0.076659822,0.121644295,0.001615705
174,2/17/17,3/3/17,34,CSCO,Put,0.46,0.12329,33.740002,0.038329911,0.119949885,0.003340115
175,2/17/17,3/10/17,830,GOOG,Call,8.7,0.12356,828.070007,0.057494867,0.120088047,0.003471953
176,2/17/17,3/3/17,845,GOOG,Call,2.02,0.12358,828.070007,0.038329911,0.11715319,0.00642681
177,2/17/17,9/15/17,130,TLT,Call,1.43,0.12375,120.32,0.574948665,0.124015773,-0.000265773
178,2/17/17,3/3/17,75,CMCSA,Call,0.94,0.12382,75.32,0.038329911,0.129676435,-0.005856435
179,2/17/17,3/10/17,33.5,CSCO,Put,0.31,0.12383,33.740002,0.057494867,0.131599574,-0.007769574
180,2/17/17,4/21/17,119,TLT,Put,1.9,0.12388,120.32,0.1724846,0.12860827,-0.00472827
181,2/17/17,2/24/17,855,GOOGL,Put,11.31,0.12401,846.549988,0.019164956,0.133146835,-0.009136835
182,2/17/17,3/24/17,128.5,TLT,Call,0.08,0.12401,120.32,0.095824778,0.12200792,0.00200208
183,2/17/17,3/3/17,33.5,CSCO,Put,0.24,0.12415,33.740002,0.038329911,0.133104899,-0.008954899
184,2/17/17,3/24/17,128,TLT,Call,0.12,0.12422,120.32,0.095824778,0.126110747,-0.001890747
185,2/17/17,3/3/17,119.5,TLT,Put,0.78,0.12426,120.32,0.038329911,0.123098826,0.001161174
186,2/17/17,3/10/17,37.5,INTC,Call,0.13,0.12427,36.48,0.057494867,0.133667019,-0.009397019
187,2/17/17,3/3/17,125.5,TLT,Call,0.06,0.12428,120.32,0.038329911,0.128033028,-0.003753028
188,2/17/17,3/3/17,125,TLT,Call,0.07,0.1244,120.32,0.038329911,0.12208772,0.00231228
189,2/17/17,3/3/17,126,TLT,Call,0.05,0.12462,120.32,0.038329911,0.132969925,-0.008349925
190,2/17/17,6/16/17,150,CHDN,Call,7.5,0.12481,155.100006,0.325804244,0.124246684,0.000563316
191,2/17/17,3/3/17,875,GOOGL,Call,0.83,0.12482,846.549988,0.038329911,0.123342105,0.001477895
192,2/17/17,3/3/17,36.5,INTC,Call,0.35,0.12484,36.48,0.038329911,0.125088248,-0.000248248
193,2/17/17,3/10/17,37,INTC,Call,0.24,0.12499,36.48,0.057494867,0.127929492,-0.002939492
194,2/17/17,3/3/17,124.5,TLT,Call,0.09,0.12501,120.32,0.038329911,0.118401035,0.006608965
195,2/17/17,3/10/17,120.5,TLT,Put,1.58,0.12503,120.32,0.057494867,0.130790516,-0.005760516
196,2/17/17,4/21/17,114,TLT,Put,0.51,0.12503,120.32,0.1724846,0.129889866,-0.004859866
197,2/17/17,2/24/17,877.5,GOOGL,Call,0.13,0.12504,846.549988,0.019164956,0.12918347,-0.00414347
198,2/17/17,3/3/17,118.5,TLT,Put,0.52,0.12505,120.32,0.038329911,0.131642146,-0.006592146
199,2/17/17,6/16/17,124,TLT,Call,1.77,0.12515,120.32,0.325804244,0.115667929,0.009482071
200,2/17/17,3/17/17,100,GK,Call,0.05,0.12532,94.489998,0.076659822,0.115938691,0.009381309
201,2/17/17,3/17/17,815,GOOG,Call,20.1,0.12542,828.070007,0.076659822,0.135195031,-0.009775031
202,2/17/17,2/24/17,77,CMCSA,Call,0.05,0.1255,75.32,0.019164956,0.11712576,0.00837424
203,2/17/17,3/24/17,35.5,CSCO,Call,0.07,0.12553,33.740002,0.095824778,0.129905468,-0.004375468
204,2/17/17,3/24/17,862.5,GOOGL,Call,7.16,0.12554,846.549988,0.095824778,0.128284955,-0.002744955
205,2/17/17,3/24/17,129,TLT,Call,0.1,0.12561,120.32,0.095824778,0.133433498,-0.007823498
206,2/17/17,3/17/17,810,GOOG,Call,23.2,0.12565,828.070007,0.076659822,0.130496925,-0.004846925
207,2/17/17,3/10/17,740,ISRG,Call,3.14,0.12569,724.659973,0.057494867,0.124046553,0.001643447
208,2/17/17,3/10/17,127,TLT,Call,0.06,0.12587,120.32,0.057494867,0.127534389,-0.001664389
209,2/17/17,3/24/17,727.5,ISRG,Call,10.5,0.12593,724.659973,0.095824778,0.130562924,-0.004632924
210,2/17/17,3/3/17,845,GOOGL,Put,7.13,0.12596,846.549988,0.038329911,0.120461726,0.005498274
211,2/17/17,2/24/17,860,AMZN,Call,1.35,0.12597,845.070007,0.019164956,0.129710484,-0.003740484
212,2/17/17,3/24/17,127,TLT,Call,0.17,0.1261,120.32,0.095824778,0.122988401,0.003111599
213,2/17/17,3/24/17,38.5,INTC,Call,0.06,0.12619,36.48,0.095824778,0.127482943,-0.001292943
214,2/17/17,3/10/17,126,TLT,Call,0.1,0.12653,120.32,0.057494867,0.124700643,0.001829357
215,2/17/17,3/10/17,125.5,TLT,Call,0.12,0.12654,120.32,0.057494867,0.121279759,0.005260241
216,2/17/17,2/24/17,73.5,CMCSA,Put,0.05,0.12664,75.32,0.019164956,0.12807954,-0.00143954
217,2/17/17,3/24/17,280,IBB,Call,15.04,0.12684,294.350006,0.095824778,0.128524232,-0.001684232
218,2/17/17,3/17/17,130,JJSF,Call,1.65,0.12701,129.850006,0.076659822,0.118458779,0.008551221
219,2/17/17,3/17/17,126,TLT,Call,0.19,0.12721,120.32,0.076659822,0.125846057,0.001363943
220,2/17/17,3/17/17,845,GOOG,Put,22.04,0.12736,828.070007,0.076659822,0.129315014,-0.001955014
221,2/17/17,2/24/17,74,CMCSA,Put,0.12,0.12748,75.32,0.019164956,0.132128593,-0.004648593
222,2/17/17,2/24/17,812.5,GOOG,Put,0.94,0.12759,828.070007,0.019164956,0.123808963,0.003781037
223,2/17/17,3/3/17,35.5,INTC,Call,1.06,0.12759,36.48,0.038329911,0.134677481,-0.007087481
224,2/17/17,2/24/17,845,AMZN,Call,6.02,0.12781,845.070007,0.019164956,0.127374271,0.000435729
225,2/17/17,3/10/17,750,ISRG,Call,1.52,0.12791,724.659973,0.057494867,0.1279905,-8.05E-05
226,2/17/17,2/24/17,840,AMZN,Call,8.63,0.12793,845.070007,0.019164956,0.122236988,0.005693012
227,2/17/17,3/10/17,40.5,BBBY,Call,0.91,0.12799,41.139999,0.057494867,0.133347326,-0.005357326
228,2/17/17,2/24/17,862.5,AMZN,Call,1.05,0.12802,845.070007,0.019164956,0.132182199,-0.004162199
229,2/17/17,2/24/17,735,ISRG,Call,1.55,0.1281,724.659973,0.019164956,0.127299357,0.000800643
230,2/17/17,2/24/17,77.5,CMCSA,Call,0.03,0.12832,75.32,0.019164956,0.127035416,0.001284584
231,2/17/17,3/24/17,35.5,INTC,Call,1.21,0.12833,36.48,0.095824778,0.130606526,-0.002276526
232,2/17/17,3/17/17,825,GOOG,Put,10.57,0.12844,828.070007,0.076659822,0.133535354,-0.005095354
233,2/17/17,2/24/17,134,FB,Call,0.74,0.12855,133.529999,0.019164956,0.128756393,-0.000206393
234,2/17/17,3/3/17,852.5,GOOGL,Put,11.9,0.12864,846.549988,0.038329911,0.131169253,-0.002529253
235,2/17/17,3/3/17,37,INTC,Call,0.15,0.12877,36.48,0.038329911,0.121277097,0.007492903
236,2/17/17,3/17/17,77.5,CMCSA,Call,0.38,0.12899,75.32,0.076659822,0.136180591,-0.007190591
237,2/17/17,4/21/17,118,TLT,Put,1.52,0.12904,120.32,0.1724846,0.129234012,-0.000194012
238,2/17/17,5/19/17,132,TLT,Call,0.3,0.12912,120.32,0.249144422,0.130648975,-0.001528975
239,2/17/17,3/3/17,727.5,ISRG,Call,6.6,0.1293,724.659973,0.038329911,0.138911627,-0.009611627
240,2/17/17,3/10/17,78,CMCSA,Call,0.17,0.12936,75.32,0.057494867,0.132520937,-0.003160937
241,2/17/17,3/3/17,830,GOOGL,Put,2.9,0.12947,846.549988,0.038329911,0.135319473,-0.005849473
242,2/17/17,3/17/17,127,TLT,Call,0.13,0.12961,120.32,0.076659822,0.129282831,0.000327169
243,2/17/17,3/10/17,117,TLT,Put,0.37,0.1297,120.32,0.057494867,0.130437049,-0.000737049
244,2/17/17,2/24/17,76,CMCSA,Put,0.94,0.1299,75.32,0.019164956,0.128775691,0.001124309
