,cDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference
633,2016-11-15,2017-05-19,37.0,ATVI,Put,3.05,0.35216,38.529999,0.5065023956194388,0.35648492230393547,-0.004324922303935497
636,2016-11-15,2017-05-19,40.0,ATVI,Put,4.8,0.36996,38.529999,0.5065023956194388,0.367448612305453,0.002511387694547007
641,2016-11-15,2018-01-19,35.0,ATVI,Put,4.0,0.35555,38.529999,1.1772758384668036,0.3600663445104155,-0.004516344510415549
698,2016-11-15,2017-01-20,105.0,ADBE,Put,4.37,0.21420999999999998,103.660004,0.1806981519507187,0.21009769021475316,0.0041123097852468204
703,2016-11-15,2017-04-21,105.0,ADBE,Call,5.65,0.22448,103.660004,0.42984257357973993,0.22734483463864402,-0.0028648346386440093
704,2016-11-15,2017-04-21,110.0,ADBE,Call,3.55,0.21871999999999997,103.660004,0.42984257357973993,0.2196627289959006,-0.0009427289959006435
707,2016-11-15,2017-04-21,100.0,ADBE,Put,4.5,0.24385,103.660004,0.42984257357973993,0.23505863144237177,0.008791368557628243
710,2016-11-15,2017-07-21,95.0,ADBE,Call,13.65,0.24996999999999997,103.660004,0.6789869952087612,0.258539018468583,-0.008569018468583045
711,2016-11-15,2017-07-21,97.5,ADBE,Call,11.9,0.24966999999999998,103.660004,0.6789869952087612,0.25051493656064944,-0.0008449365606494619
713,2016-11-15,2017-07-21,105.0,ADBE,Call,7.85,0.23897,103.660004,0.6789869952087612,0.24379018104809896,-0.004820181048098976
715,2016-11-15,2017-07-21,95.0,ADBE,Put,5.75,0.30188000000000004,103.660004,0.6789869952087612,0.29474167757143827,0.007138322428561772
716,2016-11-15,2017-07-21,97.5,ADBE,Put,6.2,0.27631,103.660004,0.6789869952087612,0.27571333492233047,0.0005966650776695337
717,2016-11-15,2017-07-21,100.0,ADBE,Put,7.29,0.28086,103.660004,0.6789869952087612,0.27443778315500916,0.006422216844990836
721,2016-11-15,2018-01-19,97.5,ADBE,Call,14.95,0.25063,103.660004,1.1772758384668036,0.26044891441415624,-0.009818914414156221
724,2016-11-15,2018-01-19,110.0,ADBE,Call,7.9,0.22061,103.660004,1.1772758384668036,0.22844246872409807,-0.007832468724098068
726,2016-11-15,2018-01-19,97.5,ADBE,Put,9.15,0.27384000000000003,103.660004,1.1772758384668036,0.28274148055061327,-0.008901480550613239
731,2016-11-15,2019-01-18,97.5,ADBE,Call,18.45,0.23976,103.660004,2.1738535249828885,0.24889128813811207,-0.009131288138112065
735,2016-11-15,2019-01-18,95.0,ADBE,Put,12.16,0.28425,103.660004,2.1738535249828885,0.2871722276177034,-0.002922227617703388
762,2016-11-15,2016-12-16,55.0,AEIS,Call,1.1,0.33969,52.400002,0.08487337440109514,0.3442605520103834,-0.004570552010383422
767,2016-11-15,2017-01-20,55.0,AEIS,Call,2.3,0.38515,52.400002,0.1806981519507187,0.3767604013410173,0.0083895986589827
777,2016-11-15,2017-07-21,50.0,AEIS,Call,7.0,0.33284,52.400002,0.6789869952087612,0.33572207910765517,-0.0028820791076551444
779,2016-11-15,2017-07-21,55.0,AEIS,Put,6.5,0.30079,52.400002,0.6789869952087612,0.2961135061195828,0.004676493880417187
859,2016-11-15,2016-12-16,40.0,AERI,Put,2.4,0.68958,41.950001,0.08487337440109514,0.6923683126660771,-0.002788312666077153
870,2016-11-15,2017-05-19,35.0,AERI,Put,6.0,0.8558,41.950001,0.5065023956194388,0.8480099509324655,0.007790049067534555
871,2016-11-15,2017-05-19,40.0,AERI,Put,8.6,0.83475,41.950001,0.5065023956194388,0.8378252363036163,-0.00307523630361628
880,2016-11-15,2017-03-17,30.0,AVAV,Call,1.47,0.35980999999999996,27.700001,0.33401779603011633,0.3666707545198742,-0.006860754519874224
933,2016-11-15,2016-12-09,18.5,AGNC,Put,0.1,0.1949,19.280001000000002,0.06570841889117043,0.18979664826474713,0.0051033517352528646
938,2016-11-15,2016-12-16,18.0,AGNC,Put,0.06,0.20585,19.280001000000002,0.08487337440109514,0.19755404420720973,0.008295955792790272
958,2016-11-15,2017-01-06,18.0,AGNC,Put,0.23,0.24743,19.280001000000002,0.14236824093086928,0.24719917324546353,0.00023082675453647838
964,2016-11-15,2017-01-27,18.0,AGNC,Put,0.35,0.24654,19.280001000000002,0.1998631074606434,0.25458020980295354,-0.00804020980295353
969,2016-11-15,2017-03-17,17.0,AGNC,Put,0.33,0.27759,19.280001000000002,0.33401779603011633,0.27049406351579913,0.007095936484200871
977,2016-11-15,2017-06-16,17.0,AGNC,Put,0.71,0.30305,19.280001000000002,0.5831622176591376,0.2935439899010826,0.009506010098917383
1161,2016-11-15,2016-12-23,60.5,AKAM,Put,0.66,0.29252,65.470001,0.10403832991101986,0.29224627542134934,0.00027372457865065813
1162,2016-11-15,2016-12-23,61.5,AKAM,Put,0.42,0.21008000000000002,65.470001,0.10403832991101986,0.21239335059363024,-0.00231335059363022
1164,2016-11-15,2016-12-23,62.5,AKAM,Put,0.36,0.15625,65.470001,0.10403832991101986,0.1662328981183246,-0.00998289811832459
1165,2016-11-15,2016-12-23,63.0,AKAM,Put,0.43,0.15545,65.470001,0.10403832991101986,0.15990183841495403,-0.004451838414954029
1177,2016-11-15,2016-12-30,61.0,AKAM,Put,0.46,0.22405,65.470001,0.12320328542094455,0.21847770498425328,0.005572295015746714
1205,2016-11-15,2017-01-13,62.5,AKAM,Call,4.85,0.30417,65.470001,0.16153319644079397,0.30341908517584765,0.0007509148241523489
1216,2016-11-15,2017-01-20,62.5,AKAM,Call,4.95,0.29352,65.470001,0.1806981519507187,0.29644309317518586,-0.0029230931751858535
1227,2016-11-15,2017-01-06,62.0,AKAM,Put,0.5,0.17124,65.470001,0.14236824093086928,0.17874789169582167,-0.007507891695821667
1234,2016-11-15,2017-01-20,60.0,AKAM,Put,0.81,0.24879,65.470001,0.1806981519507187,0.2567346637806632,-0.007944663780663164
1250,2016-11-15,2017-02-17,70.0,AKAM,Put,5.9,0.24176,65.470001,0.25735797399041754,0.2339703760662824,0.007789623933717599
1254,2016-11-15,2017-05-19,67.5,AKAM,Call,5.5,0.34846,65.470001,0.5065023956194388,0.3396162074204776,0.008843792579522392
1258,2016-11-15,2017-05-19,62.5,AKAM,Put,4.05,0.29385,65.470001,0.5065023956194388,0.30224302165152134,-0.008393021651521337
1270,2016-11-15,2018-01-19,65.0,AKAM,Put,8.65,0.32847,65.470001,1.1772758384668036,0.3237834810715876,0.004686518928412375
1395,2016-11-15,2016-12-23,126.0,ALXN,Call,7.03,0.6047399999999999,120.360001,0.10403832991101986,0.6043313998816311,0.00040860011836885146
1407,2016-11-15,2016-12-30,125.0,ALXN,Call,7.77,0.58417,120.360001,0.12320328542094455,0.5766076975123733,0.007562302487626682
1490,2016-11-15,2017-02-17,135.0,ALXN,Call,6.52,0.48591999999999996,120.360001,0.25735797399041754,0.4833794931619204,0.002540506838079548
1568,2016-11-15,2016-12-16,155.0,ALGT,Call,10.3,0.47036999999999995,158.449997,0.08487337440109514,0.463028503654642,0.007341496345357967
1604,2016-11-15,2017-04-21,30.0,AHGP,Call,2.55,0.39511,28.889999,0.42984257357973993,0.396872147466639,-0.001762147466638997
1625,2016-11-15,2017-01-20,10.0,MDRX,Call,0.82,0.2766,10.55,0.1806981519507187,0.28194497404911184,-0.005344974049111828
1657,2016-11-15,2017-03-17,22.5,AOSL,Put,2.5,0.37940999999999997,21.34,0.33401779603011633,0.37427131210279274,0.005138687897207228
1674,2016-11-15,2016-12-09,700.0,GOOG,Call,63.0,0.29125999999999996,758.48999,0.06570841889117043,0.300559133538628,-0.009299133538628046
1677,2016-11-15,2016-12-09,720.0,GOOG,Call,44.32,0.24195,758.48999,0.06570841889117043,0.251469577269746,-0.009519577269746005
1742,2016-11-15,2016-12-16,762.5,GOOG,Call,13.2,0.17027,758.48999,0.08487337440109514,0.16943299538979867,0.0008370046102013362
1743,2016-11-15,2016-12-16,765.0,GOOG,Call,14.8,0.20525,758.48999,0.08487337440109514,0.20023683617182636,0.005013163828173628
1746,2016-11-15,2016-12-16,772.5,GOOG,Call,10.0,0.18800999999999998,758.48999,0.08487337440109514,0.17893591932079383,0.009074080679206148
1749,2016-11-15,2016-12-16,780.0,GOOG,Call,5.86,0.1565,758.48999,0.08487337440109514,0.15630690781108664,0.000193092188913363
1797,2016-11-15,2016-12-23,790.0,GOOG,Call,4.64,0.15663,758.48999,0.10403832991101986,0.1552850691223294,0.001344930877670597
1798,2016-11-15,2016-12-23,792.5,GOOG,Call,4.0,0.14634,758.48999,0.10403832991101986,0.15305420041841086,-0.006714200418410865
1800,2016-11-15,2016-12-23,797.5,GOOG,Call,2.93,0.15533,758.48999,0.10403832991101986,0.14910715421137963,0.006222845788620368
1801,2016-11-15,2016-12-23,800.0,GOOG,Call,2.45,0.14627,758.48999,0.10403832991101986,0.14662886293081198,-0.0003588629308119706
1803,2016-11-15,2016-12-23,805.0,GOOG,Call,1.76,0.14879,758.48999,0.10403832991101986,0.1440119263861571,0.004778073613842915
1825,2016-11-15,2016-12-30,767.5,GOOG,Call,14.7,0.16716,758.48999,0.12320328542094455,0.17472108615038545,-0.007561086150385449
1830,2016-11-15,2016-12-30,780.0,GOOG,Call,10.37,0.17344,758.48999,0.12320328542094455,0.17711756278004126,-0.003677562780041249
1832,2016-11-15,2016-12-30,785.0,GOOG,Call,8.42,0.16716,758.48999,0.12320328542094455,0.17229969824256935,-0.005139698242569352
1838,2016-11-15,2016-12-30,800.0,GOOG,Call,4.0,0.16161,758.48999,0.12320328542094455,0.15863715023442732,0.002972849765572688
1839,2016-11-15,2016-12-30,802.5,GOOG,Call,3.6,0.16103,758.48999,0.12320328542094455,0.15856816498853826,0.0024618350114617438
1843,2016-11-15,2016-12-30,812.5,GOOG,Call,2.17,0.15795,758.48999,0.12320328542094455,0.15548095841950368,0.002469041580496323
1845,2016-11-15,2016-12-30,822.5,GOOG,Call,2.0,0.18094000000000002,758.48999,0.12320328542094455,0.17140252086392233,0.009537479136077692
1848,2016-11-15,2016-12-30,850.0,GOOG,Call,0.9,0.19261,758.48999,0.12320328542094455,0.18685154784179853,0.005758452158201477
2021,2016-11-15,2017-01-06,792.5,GOOG,Call,8.1,0.16787,758.48999,0.14236824093086928,0.17708842737192848,-0.00921842737192849
2022,2016-11-15,2017-01-06,795.0,GOOG,Call,4.7,0.14627,758.48999,0.14236824093086928,0.144991015913548,0.001278984086452023
2027,2016-11-15,2017-01-06,820.0,GOOG,Call,2.18,0.15768,758.48999,0.14236824093086928,0.15844121873669886,-0.0007612187366988765
2032,2016-11-15,2017-01-13,755.0,GOOG,Call,23.1,0.16333,758.48999,0.16153319644079397,0.17306684712821246,-0.009736847128212461
2035,2016-11-15,2017-01-13,762.5,GOOG,Call,18.47,0.17415,758.48999,0.16153319644079397,0.16511351430381277,0.00903648569618723
2050,2016-11-15,2017-01-13,840.0,GOOG,Call,0.92,0.15807000000000002,758.48999,0.16153319644079397,0.1498784519935735,0.008191548006426519
2070,2016-11-15,2017-01-20,790.0,GOOG,Call,11.8,0.18658,758.48999,0.1806981519507187,0.1839883623324577,0.002591637667542307
2074,2016-11-15,2017-01-20,810.0,GOOG,Call,5.5,0.17612,758.48999,0.1806981519507187,0.16753010662796536,0.00858989337203464
2076,2016-11-15,2017-01-20,820.0,GOOG,Call,4.3,0.16716,758.48999,0.1806981519507187,0.17166951183753648,-0.0045095118375364784
2078,2016-11-15,2017-01-20,830.0,GOOG,Call,2.45,0.15852,758.48999,0.1806981519507187,0.16094515936856718,-0.002425159368567187
2080,2016-11-15,2017-01-20,840.0,GOOG,Call,1.55,0.14945999999999998,758.48999,0.1806981519507187,0.15806034156412446,-0.00860034156412448
2082,2016-11-15,2017-01-20,850.0,GOOG,Call,0.89,0.15878,758.48999,0.1806981519507187,0.15364747181593072,0.005132528184069285
2170,2016-11-15,2017-02-17,725.0,GOOG,Call,52.2,0.22003000000000003,758.48999,0.25735797399041754,0.21407606684079022,0.005953933159209807
2183,2016-11-15,2017-02-17,790.0,GOOG,Call,17.68,0.19167,758.48999,0.25735797399041754,0.19510228645231203,-0.0034322864523120278
2186,2016-11-15,2017-02-17,805.0,GOOG,Call,10.9,0.18117,758.48999,0.25735797399041754,0.17687024730548823,0.0042997526945117714
2191,2016-11-15,2017-02-17,830.0,GOOG,Call,8.31,0.2004,758.48999,0.25735797399041754,0.19875727426551842,0.0016427257344815704
2192,2016-11-15,2017-02-17,835.0,GOOG,Call,9.8,0.21634,758.48999,0.25735797399041754,0.2203551030106619,-0.004015103010661908
2193,2016-11-15,2017-02-17,840.0,GOOG,Call,5.5,0.18317,758.48999,0.25735797399041754,0.18605447177833506,-0.0028844717783350626
2236,2016-11-15,2017-03-17,790.0,GOOG,Call,23.04,0.21241,758.48999,0.33401779603011633,0.20280499105865696,0.00960500894134303
2238,2016-11-15,2017-03-17,800.0,GOOG,Call,21.95,0.20886999999999997,758.48999,0.33401779603011633,0.21616744568746166,-0.007297445687461684
2240,2016-11-15,2017-03-17,810.0,GOOG,Call,17.0,0.19437000000000001,758.48999,0.33401779603011633,0.20368082266941295,-0.009310822669412938
2241,2016-11-15,2017-03-17,815.0,GOOG,Call,17.5,0.21779,758.48999,0.33401779603011633,0.21559640103078076,0.0021935989692192515
2247,2016-11-15,2017-03-17,715.0,GOOG,Put,25.3,0.26227,758.48999,0.33401779603011633,0.2600649176019952,0.0022050823980048206
2257,2016-11-15,2017-03-17,765.0,GOOG,Put,44.9,0.24996999999999997,758.48999,0.33401779603011633,0.24085189819743485,0.009118101802565115
2275,2016-11-15,2017-06-16,725.0,GOOG,Call,64.5,0.20202,758.48999,0.5831622176591376,0.1972063993889615,0.004813600611038499
2279,2016-11-15,2017-06-16,745.0,GOOG,Call,53.8,0.19384,758.48999,0.5831622176591376,0.19934487085265667,-0.0055048708526566625
2299,2016-11-15,2017-06-16,845.0,GOOG,Call,16.65,0.19722,758.48999,0.5831622176591376,0.194112629033044,0.0031073709669560134
2322,2016-11-15,2017-06-16,805.0,GOOG,Put,83.3,0.25501,758.48999,0.5831622176591376,0.24679845540959017,0.008211544590409847
2327,2016-11-15,2017-06-16,830.0,GOOG,Put,99.6,0.24831,758.48999,0.5831622176591376,0.24345698744582572,0.00485301255417428
2455,2016-11-15,2016-12-16,745.0,GOOGL,Call,39.3,0.23596,775.159973,0.08487337440109514,0.23297458792512865,0.002985412074871352
2470,2016-11-15,2016-12-16,782.5,GOOGL,Call,14.9,0.1933,775.159973,0.08487337440109514,0.20102110567677395,-0.007721105676773948
2474,2016-11-15,2016-12-16,792.5,GOOGL,Call,9.2,0.17985,775.159973,0.08487337440109514,0.17911450813699142,0.000735491863008586
2479,2016-11-15,2016-12-16,805.0,GOOGL,Call,3.9,0.15982000000000002,775.159973,0.08487337440109514,0.15213758648315076,0.007682413516849257
2480,2016-11-15,2016-12-16,807.5,GOOGL,Call,3.2,0.14834,775.159973,0.08487337440109514,0.1481361641344857,0.00020383586551431243
2481,2016-11-15,2016-12-16,810.0,GOOGL,Call,2.65,0.14669000000000001,775.159973,0.08487337440109514,0.1453962318919376,0.0012937681080624208
2523,2016-11-15,2016-12-23,795.0,GOOGL,Call,9.5,0.1821,775.159973,0.10403832991101986,0.1735744761390388,0.008525523860961198
2525,2016-11-15,2016-12-23,800.0,GOOGL,Call,8.0,0.18250999999999998,775.159973,0.10403832991101986,0.17353579787595758,0.008974202124042402
2527,2016-11-15,2016-12-23,805.0,GOOGL,Call,6.6,0.17031,775.159973,0.10403832991101986,0.17241210858628714,-0.002102108586287149
2528,2016-11-15,2016-12-23,807.5,GOOGL,Call,6.4,0.17045,775.159973,0.10403832991101986,0.17729902036080697,-0.006849020360806979
2529,2016-11-15,2016-12-23,810.0,GOOGL,Call,4.5,0.16792,775.159973,0.10403832991101986,0.15913771967461893,0.008782280325381087
2530,2016-11-15,2016-12-23,812.5,GOOGL,Call,4.03,0.15033,775.159973,0.10403832991101986,0.15896948454610632,-0.00863948454610633
2531,2016-11-15,2016-12-23,815.0,GOOGL,Call,3.2,0.14687999999999998,775.159973,0.10403832991101986,0.1524254393734746,-0.0055454393734746255
2533,2016-11-15,2016-12-23,820.0,GOOGL,Call,2.37,0.15033,775.159973,0.10403832991101986,0.14967749440984432,0.000652505590155672
2535,2016-11-15,2016-12-23,825.0,GOOGL,Call,1.85,0.14494,775.159973,0.10403832991101986,0.1500476651563086,-0.005107665156308588
2536,2016-11-15,2016-12-23,827.5,GOOGL,Call,1.95,0.15656,775.159973,0.10403832991101986,0.15753755746118353,-0.0009775574611835258
2538,2016-11-15,2016-12-23,835.0,GOOGL,Call,1.14,0.15909,775.159973,0.10403832991101986,0.15201927999442075,0.007070720005579262
2556,2016-11-15,2016-12-30,782.5,GOOGL,Call,13.0,0.15089,775.159973,0.12320328542094455,0.14859318347589676,0.00229681652410324
2560,2016-11-15,2016-12-30,792.5,GOOGL,Call,7.95,0.14105,775.159973,0.12320328542094455,0.13565482317062658,0.005395176829373433
2572,2016-11-15,2016-12-30,822.5,GOOGL,Call,3.3,0.15120999999999998,775.159973,0.12320328542094455,0.15801311143150182,-0.006803111431501835
2573,2016-11-15,2016-12-30,825.0,GOOGL,Call,2.59,0.1521,775.159973,0.12320328542094455,0.15157763256866116,0.0005223674313388493
2577,2016-11-15,2016-12-30,835.0,GOOGL,Call,1.75,0.15521,775.159973,0.12320328542094455,0.15459996408026297,0.0006100359197370175
2578,2016-11-15,2016-12-30,837.5,GOOGL,Call,1.33,0.15886,775.159973,0.12320328542094455,0.149014739508858,0.00984526049114201
2744,2016-11-15,2016-12-30,820.0,GOOGL,Put,50.8,0.18871,775.159973,0.12320328542094455,0.19567200659366885,-0.006962006593668857
2748,2016-11-15,2017-01-06,750.0,GOOGL,Call,33.1,0.15969,775.159973,0.14236824093086928,0.15082219593750876,0.008867804062491241
2752,2016-11-15,2017-01-06,765.0,GOOGL,Call,23.11,0.14725,775.159973,0.14236824093086928,0.14872520499921035,-0.001475204999210361
2761,2016-11-15,2017-01-06,787.5,GOOGL,Call,13.7,0.16326,775.159973,0.14236824093086928,0.16173619798792155,0.0015238020120784401
2776,2016-11-15,2017-01-06,830.0,GOOGL,Call,4.24,0.17612,775.159973,0.14236824093086928,0.17544563183037193,0.0006743681696280701
2789,2016-11-15,2017-01-13,780.0,GOOGL,Call,19.31,0.16297999999999999,775.159973,0.16153319644079397,0.17133910827396998,-0.00835910827396999
2792,2016-11-15,2017-01-13,787.5,GOOGL,Call,13.2,0.14627,775.159973,0.16153319644079397,0.14747528541192975,-0.0012052854119297407
2803,2016-11-15,2017-01-13,850.0,GOOGL,Call,2.8,0.18837,775.159973,0.16153319644079397,0.17846391878265516,0.009906081217344848
2804,2016-11-15,2017-01-13,860.0,GOOGL,Call,1.14,0.15741,775.159973,0.16153319644079397,0.1579804305947628,-0.0005704305947628052
2823,2016-11-15,2017-01-20,810.0,GOOGL,Call,11.2,0.18765,775.159973,0.1806981519507187,0.18304252829693818,0.004607471703061833
2830,2016-11-15,2017-01-20,845.0,GOOGL,Call,3.3,0.16328,775.159973,0.1806981519507187,0.1684328093688246,-0.00515280936882459
2832,2016-11-15,2017-01-20,855.0,GOOGL,Call,2.15,0.15627,775.159973,0.1806981519507187,0.16475467877171562,-0.008484678771715631
2834,2016-11-15,2017-01-20,865.0,GOOGL,Call,1.95,0.17125,775.159973,0.1806981519507187,0.17512790880573542,-0.0038779088057354083
2835,2016-11-15,2017-01-20,870.0,GOOGL,Call,1.09,0.16813,775.159973,0.1806981519507187,0.16083716363937223,0.007292836360627775
2870,2016-11-15,2017-01-13,742.5,GOOGL,Put,12.4,0.20548000000000002,775.159973,0.16153319644079397,0.2112058664351944,-0.005725866435194377
2873,2016-11-15,2017-01-13,755.0,GOOGL,Put,16.6,0.20190999999999998,775.159973,0.16153319644079397,0.20931939907313885,-0.007409399073138867
2917,2016-11-15,2017-01-20,870.0,GOOGL,Put,94.3,0.1325,775.159973,0.1806981519507187,0.12527908365882565,0.00722091634117436
2944,2016-11-15,2017-02-17,830.0,GOOGL,Call,16.4,0.23542,775.159973,0.25735797399041754,0.22987553114944698,0.005544468850553014
2947,2016-11-15,2017-02-17,845.0,GOOGL,Call,11.9,0.21938000000000002,775.159973,0.25735797399041754,0.222463062746102,-0.0030830627461019833
2951,2016-11-15,2017-02-17,865.0,GOOGL,Call,7.87,0.2144,775.159973,0.25735797399041754,0.218438737138059,-0.004038737138058995
2952,2016-11-15,2017-02-17,870.0,GOOGL,Call,6.8,0.21465,775.159973,0.25735797399041754,0.21484822682396137,-0.00019822682396136715
2974,2016-11-15,2017-02-17,825.0,GOOGL,Put,65.7,0.21871999999999997,775.159973,0.25735797399041754,0.22391552636690998,-0.005195526366910008
2987,2016-11-15,2017-03-17,765.0,GOOGL,Call,47.3,0.22521999999999998,775.159973,0.33401779603011633,0.2331486755429078,-0.007928675542907826
2997,2016-11-15,2017-03-17,815.0,GOOGL,Call,22.0,0.20706999999999998,775.159973,0.33401779603011633,0.20870437154371851,-0.001634371543718538
3028,2016-11-15,2017-03-17,840.0,GOOGL,Put,85.58,0.24996999999999997,775.159973,0.33401779603011633,0.25427999826206454,-0.004309998262064574
3039,2016-11-15,2017-06-16,765.0,GOOGL,Call,54.87,0.20138,775.159973,0.5831622176591376,0.20692510872322695,-0.005545108723226944
3056,2016-11-15,2017-06-16,850.0,GOOGL,Call,27.0,0.21863000000000002,775.159973,0.5831622176591376,0.22653526735666768,-0.007905267356667661
3058,2016-11-15,2017-06-16,860.0,GOOGL,Call,20.3,0.21606,775.159973,0.5831622176591376,0.2066504242975507,0.009409575702449297
3071,2016-11-15,2017-06-16,770.0,GOOGL,Put,47.0,0.21871999999999997,775.159973,0.5831622176591376,0.21560248329478876,0.0031175167052112096
3089,2016-11-15,2017-06-16,860.0,GOOGL,Put,111.7,0.24996999999999997,775.159973,0.5831622176591376,0.25002383139508405,-5.3831395084080746e-05
3091,2016-11-15,2017-06-16,870.0,GOOGL,Put,119.5,0.26086,775.159973,0.5831622176591376,0.2518674813472908,0.00899251865270917
3106,2016-11-15,2018-01-19,860.0,GOOGL,Call,45.3,0.21863000000000002,775.159973,1.1772758384668036,0.2242443638533596,-0.0056143638533595885
3194,2016-11-15,2017-02-17,36.0,AMAG,Call,1.65,0.48008,31.950001,0.25735797399041754,0.47749698343977887,0.002583016560221141
3228,2016-11-15,2017-03-17,3.0,AMRN,Put,0.45,0.8714700000000001,3.4,0.33401779603011633,0.8673484432074483,0.004121556792551773
3270,2016-11-15,2016-12-09,735.0,AMZN,Call,31.37,0.34856,743.23999,0.06570841889117043,0.35630022328405264,-0.007740223284052661
3279,2016-11-15,2016-12-09,757.5,AMZN,Call,10.05,0.20738,743.23999,0.06570841889117043,0.20980738256184944,-0.002427382561849434
3339,2016-11-15,2016-12-16,757.5,AMZN,Call,15.4,0.24405,743.23999,0.08487337440109514,0.24847080094332435,-0.004420800943324366
3340,2016-11-15,2016-12-16,760.0,AMZN,Call,13.5,0.23601,743.23999,0.08487337440109514,0.23693154937063904,-0.000921549370639041
3345,2016-11-15,2016-12-16,772.5,AMZN,Call,7.18,0.20699,743.23999,0.08487337440109514,0.20538990364002624,0.0016000963599737683
3397,2016-11-15,2016-12-23,775.0,AMZN,Call,9.5,0.22180999999999998,743.23999,0.10403832991101986,0.2219152468751427,-0.00010524687514271158
