,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,ImpliedVolatility,Difference,Var
423,2017-02-17,2017-02-24,45.0,ATVI,Call,0.58,0.16249,45.330002,0.019164955509924708,0.15647094677887133,0.006019053221128667,0.03704260705968778
424,2017-02-17,2017-02-24,45.5,ATVI,Call,0.33,0.16326,45.330002,0.019164955509924708,0.16246719320628278,0.0007928067937172101,0.004856099434749541
425,2017-02-17,2017-02-24,46.0,ATVI,Call,0.18,0.17453,45.330002,0.019164955509924708,0.17210379115973953,0.0024262088402604576,0.013901385665848035
426,2017-02-17,2017-02-24,46.5,ATVI,Call,0.09,0.17819000000000002,45.330002,0.019164955509924708,0.17870709541175422,-0.0005170954117542093,0.00290193283435776
428,2017-02-17,2017-02-24,47.5,ATVI,Call,0.03,0.20976,45.330002,0.019164955509924708,0.20861431872929487,0.0011456812707051345,0.005461867232575965
436,2017-02-17,2017-02-24,43.0,ATVI,Put,0.04,0.24051999999999998,45.330002,0.019164955509924708,0.24727379093326995,-0.006753790933269971,0.028079955651380224
440,2017-02-17,2017-02-24,45.0,ATVI,Put,0.29,0.1754,45.330002,0.019164955509924708,0.17518953975941556,0.0002104602405844369,0.0011998873465475309
442,2017-02-17,2017-02-24,46.0,ATVI,Put,0.88,0.18341,45.330002,0.019164955509924708,0.18829471385468424,-0.004884713854684253,0.026632756418320993
460,2017-02-17,2017-03-03,47.0,ATVI,Call,0.15,0.18599000000000002,45.330002,0.038329911019849415,0.18906145538124564,-0.003071455381245619,0.01651408882867691
463,2017-02-17,2017-03-03,48.5,ATVI,Call,0.15,0.29279,45.330002,0.038329911019849415,0.2881847488533868,0.0046052511466131985,0.01572885394519348
474,2017-02-17,2017-03-10,46.0,ATVI,Call,0.59,0.19557,45.330002,0.057494866529774126,0.20142584905933164,-0.005855849059331647,0.029942471029972117
476,2017-02-17,2017-03-10,47.0,ATVI,Call,0.25,0.1859,45.330002,0.057494866529774126,0.18746116582335015,-0.0015611658233501413,0.008397879630716198
483,2017-02-17,2017-03-17,44.0,ATVI,Call,1.78,0.18980999999999998,45.330002,0.07665982203969883,0.1946608377993069,-0.004850837799306923,0.025556281541051176
484,2017-02-17,2017-03-17,45.0,ATVI,Call,1.18,0.20936,45.330002,0.07665982203969883,0.1998652847828767,0.009494715217123278,0.045351142611402745
485,2017-02-17,2017-03-17,46.0,ATVI,Call,0.7,0.19643,45.330002,0.07665982203969883,0.19678296568200518,-0.0003529656820051852,0.001796903130912718
486,2017-02-17,2017-03-17,47.0,ATVI,Call,0.39,0.18872,45.330002,0.07665982203969883,0.19773697342621752,-0.009016973426217517,0.04777963875698133
495,2017-02-17,2017-03-24,44.0,ATVI,Call,1.87,0.19498,45.330002,0.09582477754962354,0.1923219922907464,0.0026580077092535903,0.013632206940473846
498,2017-02-17,2017-03-24,45.5,ATVI,Call,0.94,0.17945,45.330002,0.09582477754962354,0.18057369662771583,-0.0011236966277158311,0.0062618926035989475
509,2017-02-17,2017-03-03,43.5,ATVI,Put,0.16,0.20667,45.330002,0.038329911019849415,0.21470274268205009,-0.008032742682050092,0.038867482856970496
510,2017-02-17,2017-03-03,44.0,ATVI,Put,0.25,0.20240999999999998,45.330002,0.038329911019849415,0.21012797728279659,-0.0077179772827966064,0.03813041491426613
514,2017-02-17,2017-03-03,46.0,ATVI,Put,1.11,0.20073,45.330002,0.038329911019849415,0.20538795008430433,-0.004657950084304335,0.02320505198178815
520,2017-02-17,2017-03-10,43.0,ATVI,Put,0.24,0.2481,45.330002,0.057494866529774126,0.23819706181425832,0.009902938185741672,0.039915107560425926
521,2017-02-17,2017-03-10,43.5,ATVI,Put,0.28,0.21465,45.330002,0.057494866529774126,0.21736403125882764,-0.0027140312588276316,0.01264398443432393
523,2017-02-17,2017-03-10,44.5,ATVI,Put,0.57,0.21031,45.330002,0.057494866529774126,0.2168322058845948,-0.0065222058845947894,0.031012343134395843
532,2017-02-17,2017-03-17,42.0,ATVI,Put,0.18,0.24996999999999997,45.330002,0.07665982203969883,0.2405961768990412,0.009373823100958772,0.037499792378920566
533,2017-02-17,2017-03-17,43.0,ATVI,Put,0.29,0.21871999999999997,45.330002,0.07665982203969883,0.22186023368500465,-0.003140233685004684,0.014357322992889011
534,2017-02-17,2017-03-17,44.0,ATVI,Put,0.55,0.21871999999999997,45.330002,0.07665982203969883,0.2218553586884395,-0.0031353586884395324,0.014335034237561873
535,2017-02-17,2017-03-17,45.0,ATVI,Put,0.86,0.2032,45.330002,0.07665982203969883,0.2053817746472521,-0.0021817746472521105,0.010737079956949364
536,2017-02-17,2017-03-17,46.0,ATVI,Put,1.42,0.21509,45.330002,0.07665982203969883,0.21063726953483178,0.004452730465168225,0.02070170842516261
537,2017-02-17,2017-03-17,47.0,ATVI,Put,2.13,0.21039000000000002,45.330002,0.07665982203969883,0.218691617039676,-0.008301617039675968,0.039458230142478096
541,2017-02-17,2017-03-24,42.0,ATVI,Put,0.29,0.24996999999999997,45.330002,0.09582477754962354,0.2513998383427447,-0.001429838342744738,0.005720039775752043
543,2017-02-17,2017-03-24,43.0,ATVI,Put,0.4,0.21871999999999997,45.330002,0.09582477754962354,0.22669420219290853,-0.007974202192908564,0.036458495761286416
544,2017-02-17,2017-03-24,43.5,ATVI,Put,0.6,0.24996999999999997,45.330002,0.09582477754962354,0.24168205213837385,0.008287947861626122,0.03315577013892116
545,2017-02-17,2017-03-24,44.0,ATVI,Put,0.62,0.21871999999999997,45.330002,0.09582477754962354,0.21293126151368905,0.005788738486310924,0.026466434191253312
546,2017-02-17,2017-03-24,44.5,ATVI,Put,0.78,0.21298000000000003,45.330002,0.09582477754962354,0.2085248100696775,0.0044551899303225395,0.02091834881360944
547,2017-02-17,2017-03-24,45.0,ATVI,Put,1.03,0.20611999999999997,45.330002,0.09582477754962354,0.21480171472269186,-0.008681714722691886,0.04211971047298606
555,2017-02-17,2017-05-19,42.0,ATVI,Call,4.0,0.20944000000000002,45.330002,0.24914442162902123,0.21121252380836156,-0.0017725238083615424,0.008463157984919511
556,2017-02-17,2017-05-19,43.0,ATVI,Call,3.56,0.24111999999999997,45.330002,0.24914442162902123,0.2462514004002353,-0.005131400400235325,0.02128152123521618
557,2017-02-17,2017-05-19,44.0,ATVI,Call,2.95,0.23824,45.330002,0.24914442162902123,0.24635830698310016,-0.008118306983100149,0.03407617101704226
561,2017-02-17,2017-05-19,48.0,ATVI,Call,1.19,0.24996999999999997,45.330002,0.24914442162902123,0.2435037018062185,0.006466298193781472,0.025868296970762383
566,2017-02-17,2017-05-19,44.0,ATVI,Put,1.87,0.27589,45.330002,0.24914442162902123,0.2816956469782197,-0.00580564697821967,0.021043339657905936
569,2017-02-17,2017-05-19,47.0,ATVI,Put,3.6,0.30505,45.330002,0.24914442162902123,0.29621761239588107,0.008832387604118919,0.028953901341153644
571,2017-02-17,2017-05-19,49.0,ATVI,Put,4.9,0.28968,45.330002,0.24914442162902123,0.29057306742557965,-0.0008930674255796522,0.003082944716858783
579,2017-02-17,2017-08-18,48.0,ATVI,Call,2.14,0.24996999999999997,45.330002,0.49828884325804246,0.24858991188309448,0.0013800881169054868,0.0055210149894206785
580,2017-02-17,2017-08-18,49.0,ATVI,Call,1.81,0.24996999999999997,45.330002,0.49828884325804246,0.24796988840118267,0.0020001115988173,0.008001406564056889
582,2017-02-17,2017-08-18,42.0,ATVI,Put,2.09,0.2904,45.330002,0.49828884325804246,0.2893511170795006,0.0010488829204993722,0.003611855786843568
622,2017-02-17,2017-03-17,110.0,ADBE,Put,0.5,0.2666,119.66999799999999,0.07665982203969883,0.2621057117702771,0.00449428822972292,0.016857795310288522
623,2017-02-17,2017-03-17,115.0,ADBE,Put,1.29,0.24541999999999997,119.66999799999999,0.07665982203969883,0.23870130499244288,0.006718695007557091,0.027376314104625096
628,2017-02-17,2017-04-21,115.0,ADBE,Call,6.78,0.20888,119.66999799999999,0.17248459958932238,0.20311709063285222,0.005762909367147795,0.027589569930810968
633,2017-02-17,2017-04-21,115.0,ADBE,Put,2.25,0.21871999999999997,119.66999799999999,0.17248459958932238,0.21685380009819624,0.0018661999018037279,0.008532369704662254
640,2017-02-17,2017-07-21,125.0,ADBE,Call,4.59,0.22132,119.66999799999999,0.4216290212183436,0.21584543035535136,0.005474569644648625,0.024735991526516468
641,2017-02-17,2017-07-21,130.0,ADBE,Call,2.77,0.207,119.66999799999999,0.4216290212183436,0.20513997794837993,0.0018600220516200583,0.00898561377594231
645,2017-02-17,2017-07-21,125.0,ADBE,Put,9.7,0.22625,119.66999799999999,0.4216290212183436,0.21727584949098333,0.008974150509016676,0.03966475363101293
646,2017-02-17,2017-07-21,130.0,ADBE,Put,13.35,0.21871999999999997,119.66999799999999,0.4216290212183436,0.2243773402642913,-0.005657340264291322,0.02586567421493838
651,2017-02-17,2018-01-19,130.0,ADBE,Call,6.92,0.22541999999999998,119.66999799999999,0.919917864476386,0.2338667583293694,-0.00844675832936942,0.03747120188700834
653,2017-02-17,2018-01-19,115.0,ADBE,Put,8.75,0.24961999999999998,119.66999799999999,0.919917864476386,0.24969530519969463,-7.530519969464744e-05,0.0003016793513927067
655,2017-02-17,2018-01-19,125.0,ADBE,Put,14.1,0.24769000000000002,119.66999799999999,0.919917864476386,0.2482943569744802,-0.0006043569744801913,0.0024399732507577668
662,2017-02-17,2019-01-18,110.0,ADBE,Put,15.45,0.32172,119.66999799999999,1.9164955509924708,0.3255018087740681,-0.003781808774068085,0.011754969458125342
681,2017-02-17,2017-08-18,23.0,ADTN,Call,1.15,0.27821999999999997,21.700001,0.49828884325804246,0.27085844446184504,0.007361555538154929,0.026459476450847997
687,2017-02-17,2017-07-21,12.5,ADRO,Call,2.0,0.74051,11.8,0.4216290212183436,0.7457406117181093,-0.005230611718109346,0.007063526107830206
691,2017-02-17,2017-03-17,65.0,AEIS,Put,3.83,0.22311,61.560001,0.07665982203969883,0.22387052787855918,-0.0007605278785591807,0.0034087574674339146
692,2017-02-17,2017-04-21,60.0,AEIS,Call,4.0,0.31472,61.560001,0.17248459958932238,0.3110092198868269,0.0037107801131731066,0.011790734980849983
693,2017-02-17,2017-04-21,65.0,AEIS,Call,1.45,0.26976999999999995,61.560001,0.17248459958932238,0.2698120085491361,-4.2008549136163253e-05,0.00015571986928184477
698,2017-02-17,2017-07-21,60.0,AEIS,Put,3.9,0.2891,61.560001,0.4216290212183436,0.29899670847885373,-0.00989670847885371,0.034232820750099306
706,2017-02-17,2017-02-24,12.5,AMD,Put,0.08,0.41802,13.13,0.019164955509924708,0.41535341463151604,0.0026665853684839647,0.006379085614286313
712,2017-02-17,2017-03-03,13.0,AMD,Call,0.52,0.43714,13.13,0.038329911019849415,0.44181398536944605,-0.0046739853694460765,0.010692193277773886
713,2017-02-17,2017-03-03,13.5,AMD,Call,0.32,0.45948999999999995,13.13,0.038329911019849415,0.46329549808715215,-0.0038054980871521926,0.008282004150584764
721,2017-02-17,2017-03-17,13.0,AMD,Call,0.77,0.49311000000000005,13.13,0.07665982203969883,0.4858269283318036,0.0072830716681964724,0.014769669380455623
722,2017-02-17,2017-03-17,14.0,AMD,Call,0.38,0.49846,13.13,0.07665982203969883,0.48955851208638285,0.008901487913617168,0.01785797840070852
733,2017-02-17,2017-03-10,12.0,AMD,Put,0.18,0.4806,13.13,0.057494866529774126,0.4819376923547868,-0.001337692354786757,0.0027833798476628317
741,2017-02-17,2017-03-24,12.0,AMD,Put,0.33,0.50425,13.13,0.09582477754962354,0.4958452558982686,0.008404744101731365,0.016667811803136073
742,2017-02-17,2017-03-24,12.5,AMD,Put,0.5,0.49333999999999995,13.13,0.09582477754962354,0.4916129379431751,0.001727062056824824,0.00350075415904817
744,2017-02-17,2017-03-24,13.5,AMD,Put,1.05,0.51403,13.13,0.09582477754962354,0.5212848684294453,-0.007254868429445338,0.014113706261201366
809,2017-02-17,2017-02-24,19.5,AGNC,Put,0.23,0.20382,19.49,0.019164955509924708,0.20983898147329652,-0.00601898147329652,0.029530867791661856
838,2017-02-17,2017-03-17,21.0,AGNC,Put,1.71,0.31909,19.49,0.07665982203969883,0.324282247945769,-0.005192247945769002,0.016272048468360032
848,2017-02-17,2017-06-16,19.0,AGNC,Put,0.72,0.21871999999999997,19.49,0.3258042436687201,0.218938392435543,-0.00021839243554303,0.0009985023570913956
895,2017-02-17,2017-02-24,64.0,AKAM,Call,0.17,0.20385,62.34,0.019164955509924708,0.2038266990135201,2.3300986479901642e-05,0.00011430456943782999
898,2017-02-17,2017-02-24,65.5,AKAM,Call,0.03,0.20415999999999998,62.34,0.019164955509924708,0.2048211349520648,-0.0006611349520648235,0.0032383177511012126
900,2017-02-17,2017-02-24,66.5,AKAM,Call,0.18,0.37646,62.34,0.019164955509924708,0.3799951629465342,-0.003535162946534165,0.00939054068568816
905,2017-02-17,2017-02-24,59.0,AKAM,Put,0.12,0.30582,62.34,0.019164955509924708,0.30848656395918184,-0.0026665639591818557,0.008719390357667438
909,2017-02-17,2017-02-24,61.5,AKAM,Put,0.32,0.18724000000000002,62.34,0.019164955509924708,0.1925156532529242,-0.005275653252924173,0.02817588791350231
934,2017-02-17,2017-03-03,66.5,AKAM,Call,0.1,0.22365,62.34,0.038329911019849415,0.230342911630367,-0.006692911630367004,0.029925828886058596
953,2017-02-17,2017-03-17,60.0,AKAM,Call,2.95,0.21641,62.34,0.07665982203969883,0.21878690353127134,-0.002376903531271346,0.010983335018119985
964,2017-02-17,2017-03-24,64.0,AKAM,Call,1.13,0.23085999999999998,62.34,0.09582477754962354,0.23476021413298342,-0.0039002141329834428,0.01689428282501708
968,2017-02-17,2017-03-24,66.0,AKAM,Call,0.43,0.20856999999999998,62.34,0.09582477754962354,0.20780428257015474,0.0007657174298452418,0.0036712730970189476
979,2017-02-17,2017-03-03,61.0,AKAM,Put,0.49,0.21779,62.34,0.038329911019849415,0.2133637736237604,0.0044262263762396,0.02032336827328895
993,2017-02-17,2017-03-10,57.5,AKAM,Put,0.17,0.25943,62.34,0.057494866529774126,0.26020054431656836,-0.0007705443165683667,0.0029701434551453834
996,2017-02-17,2017-03-10,59.5,AKAM,Put,0.33,0.21855,62.34,0.057494866529774126,0.22028161298218657,-0.0017316129821865756,0.00792318912004839
1000,2017-02-17,2017-03-10,61.5,AKAM,Put,0.86,0.21024,62.34,0.057494866529774126,0.20974017225559802,0.0004998277444019927,0.0023774150704052163
1001,2017-02-17,2017-03-10,62.0,AKAM,Put,1.09,0.21899999999999997,62.34,0.057494866529774126,0.21206260382887715,0.006937396171122823,0.03167760808731883
1012,2017-02-17,2017-03-17,60.0,AKAM,Put,0.67,0.22625,62.34,0.07665982203969883,0.233660405147693,-0.0074104051476930055,0.032753171923505
1019,2017-02-17,2017-03-24,59.0,AKAM,Put,0.46,0.21871999999999997,62.34,0.09582477754962354,0.2157449951552512,0.0029750048447487742,0.013601887549143996
1020,2017-02-17,2017-03-24,60.0,AKAM,Put,0.8,0.22921999999999998,62.34,0.09582477754962354,0.22952817875662723,-0.00030817875662725314,0.0013444671347493812
1027,2017-02-17,2017-03-24,64.0,AKAM,Put,2.6,0.21871999999999997,62.34,0.09582477754962354,0.21284415104278834,0.005875848957211632,0.02686470810722217
1046,2017-02-17,2017-08-18,67.5,AKAM,Call,3.49,0.30494,62.34,0.49828884325804246,0.3095473859951898,-0.004607385995189839,0.015109155883747094
1081,2017-02-17,2017-06-16,22.5,AKRX,Call,2.2,0.50913,21.780001000000002,0.3258042436687201,0.503412946236493,0.005717053763506952,0.011229064803698372
1087,2017-02-17,2018-01-19,20.0,AKRX,Call,5.0,0.5111899999999999,21.780001000000002,0.919917864476386,0.5060983682094099,0.005091631790590023,0.009960350927424292
1089,2017-02-17,2018-01-19,20.0,AKRX,Put,3.2,0.51653,21.780001000000002,0.919917864476386,0.5155394050791956,0.000990594920804444,0.0019177877776788259
1100,2017-02-17,2017-09-15,27.5,ALRM,Put,3.1,0.46793,29.27,0.5749486652977412,0.46390020902631707,0.004029790973682945,0.008611952586247825
1128,2017-02-17,2017-02-24,128.0,ALXN,Call,2.44,0.27373000000000003,128.820007,0.019164955509924708,0.2815244896591284,-0.0077944896591283785,0.028475101958602922
1145,2017-02-17,2017-02-24,123.0,ALXN,Put,0.45,0.3194,128.820007,0.019164955509924708,0.326052356752168,-0.006652356752167965,0.020827666725635456
1179,2017-02-17,2017-03-10,135.0,ALXN,Call,1.4,0.28449,128.820007,0.057494866529774126,0.2921790266056042,-0.007689026605604166,0.02702740555240664
1181,2017-02-17,2017-03-10,140.0,ALXN,Call,0.6,0.29157,128.820007,0.057494866529774126,0.30060412663937425,-0.009034126639374251,0.030984417599115997
1183,2017-02-17,2017-03-17,125.0,ALXN,Call,6.7,0.33113000000000004,128.820007,0.07665982203969883,0.32151060124574743,0.009619398754252606,0.029050218205093483
1185,2017-02-17,2017-03-17,135.0,ALXN,Call,1.82,0.28664,128.820007,0.07665982203969883,0.28778869911116994,-0.0011486991111699374,0.004007462709914657
1188,2017-02-17,2017-03-24,128.0,ALXN,Call,5.4,0.31079,128.820007,0.09582477754962354,0.3121441992767599,-0.0013541992767598932,0.004357280725763033
1198,2017-02-17,2017-03-03,122.0,ALXN,Put,2.0,0.47678999999999994,128.820007,0.038329911019849415,0.4741455187957738,0.0026444812042261123,0.005546427576555953
1219,2017-02-17,2017-03-17,120.0,ALXN,Put,1.8,0.36346,128.820007,0.07665982203969883,0.3671789764410971,-0.0037189764410970882,0.010232147804702272
1229,2017-02-17,2017-05-19,120.0,ALXN,Call,14.2,0.36611,128.820007,0.24914442162902123,0.3647441972356758,0.0013658027643241866,0.003730580329202116
1231,2017-02-17,2017-05-19,130.0,ALXN,Call,8.0,0.33039,128.820007,0.24914442162902123,0.3304069292213796,-1.6929221379580195e-05,5.1240114348437285e-05
1233,2017-02-17,2017-05-19,140.0,ALXN,Call,4.8,0.35431,128.820007,0.24914442162902123,0.34770756710840867,0.006602432891591348,0.018634621917505426
1234,2017-02-17,2017-05-19,120.0,ALXN,Put,6.0,0.3989,128.820007,0.24914442162902123,0.39831173233551415,0.0005882676644858309,0.0014747246540131134
1242,2017-02-17,2017-08-18,135.0,ALXN,Call,10.7,0.35885,128.820007,0.49828884325804246,0.3627728257831845,-0.00392282578318448,0.010931658863548781
1258,2017-02-17,2019-01-18,120.0,ALXN,Call,24.0,0.27424,128.820007,1.9164955509924708,0.27364781629886764,0.0005921837011323428,0.0021593629708734786
1267,2017-02-17,2017-03-17,95.0,ALGN,Call,7.2,0.21838000000000002,101.769997,0.07665982203969883,0.22201531570308677,-0.0036353157030867556,0.01664674284772761
1274,2017-02-17,2017-04-21,95.0,ALGN,Call,8.1,0.22491999999999998,101.769997,0.17248459958932238,0.22788430043871125,-0.002964300438711265,0.013179354609244465
1278,2017-02-17,2017-04-21,95.0,ALGN,Put,1.55,0.24313,101.769997,0.17248459958932238,0.25161149155403784,-0.008481491554037823,0.03488459488355128
1286,2017-02-17,2017-07-21,95.0,ALGN,Put,5.1,0.31827,101.769997,0.4216290212183436,0.3193637083924199,-0.001093708392419901,0.0034364168549341784
1288,2017-02-17,2017-07-21,105.0,ALGN,Put,9.6,0.28981,101.769997,0.4216290212183436,0.29974291916758355,-0.009932919167583543,0.03427390071972514
1292,2017-02-17,2017-03-17,50.0,ALKS,Put,0.83,0.43731000000000003,54.57,0.07665982203969883,0.42954751977686756,0.007762480223132473,0.017750520736165357
1293,2017-02-17,2017-03-17,55.0,ALKS,Put,2.63,0.39059,54.57,0.07665982203969883,0.40019808228217835,-0.009608082282178354,0.024598894703342006
1300,2017-02-17,2017-05-19,60.0,ALKS,Put,8.56,0.48318,54.57,0.24914442162902123,0.48137591850898603,0.0018040814910139646,0.003733766900562864
1305,2017-02-17,2017-08-18,55.0,ALKS,Put,6.56,0.42100000000000004,54.57,0.49828884325804246,0.4176574418738977,0.0033425581261023463,0.007939567995492508
1318,2017-02-17,2017-03-17,175.0,ALGT,Put,8.47,0.35248,171.399994,0.07665982203969883,0.34271176091841093,0.00976823908158908,0.027712888906006244
1325,2017-02-17,2017-04-21,185.0,ALGT,Call,3.4,0.28983000000000003,171.399994,0.17248459958932238,0.287620911993907,0.0022090880060930407,0.007622012925139014
1358,2017-02-17,2017-03-17,25.0,AMOT,Call,0.5,0.44711999999999996,23.24,0.07665982203969883,0.44095584564364565,0.006164154356354312,0.0137863534540041
1367,2017-02-17,2017-09-15,5.0,ALLT,Put,0.67,0.42546000000000006,4.92,0.5749486652977412,0.42678898462248144,-0.0013289846224813773,0.003123641758288387
1390,2017-02-17,2017-03-17,50.0,ALNY,Put,4.1,0.57655,48.279999,0.07665982203969883,0.5862026102719349,-0.00965261027193487,0.01674201764276276
1398,2017-02-17,2017-10-20,45.0,ALNY,Call,11.44,0.6428699999999999,48.279999,0.6707734428473648,0.6403416982316844,0.002528301768315533,0.00393283520512006
1401,2017-02-17,2018-01-19,50.0,ALNY,Call,11.4,0.6654399999999999,48.279999,0.919917864476386,0.6574496448231896,0.007990355176810349,0.012007626798524811
1443,2017-02-17,2017-02-24,842.5,GOOG,Call,0.51,0.09636,828.070007,0.019164955509924708,0.09583804656651103,0.0005219534334889725,0.005416702298557207
1449,2017-02-17,2017-02-24,860.0,GOOG,Call,0.1,0.13591,828.070007,0.019164955509924708,0.13018236041447537,0.005727639585524635,0.04214288562669881
1464,2017-02-17,2017-02-24,770.0,GOOG,Put,0.19,0.24996999999999997,828.070007,0.019164955509924708,0.25263736317743757,-0.0026673631774375983,0.010670733197734122
1465,2017-02-17,2017-02-24,772.5,GOOG,Put,0.1,0.21871999999999997,828.070007,0.019164955509924708,0.22196618220827882,-0.0032461822082788527,0.014841725531633381
1471,2017-02-17,2017-02-24,787.5,GOOG,Put,0.85,0.2487,828.070007,0.019164955509924708,0.2461765413211138,0.0025234586788862035,0.010146597020049069
1473,2017-02-17,2017-02-24,792.5,GOOG,Put,0.16,0.15367999999999998,828.070007,0.019164955509924708,0.16033032940842024,-0.0066503294084202524,0.04327387694182882
1474,2017-02-17,2017-02-24,795.0,GOOG,Put,0.25,0.1634,828.070007,0.019164955509924708,0.16246815487037666,0.0009318451296233266,0.005702846570522195
1475,2017-02-17,2017-02-24,797.5,GOOG,Put,0.51,0.17761,828.070007,0.019164955509924708,0.17526723728914692,0.002342762710853069,0.013190488772327398
1481,2017-02-17,2017-02-24,812.5,GOOG,Put,0.94,0.12759,828.070007,0.019164955509924708,0.12380896318142613,0.003781036818573877,0.029634272423966428
1484,2017-02-17,2017-02-24,820.0,GOOG,Put,2.13,0.11406,828.070007,0.019164955509924708,0.11480132143745106,-0.0007413214374510646,0.006499398890505564
